Abgerissenes Land
Aufwendungen, Ersatz dafür bei GesbR
Aufwertung
Auktor
Ausbesserungen
Ausbildung der Kinder
Ausbildungsvertrag
Ausbildungsvermächtnis
Ausdrücke, undeutliche
Auseinandersetzung bei GesbR
Ausfallsbürgschaft
Ausgedinge
Auskunftsanspruch
Auskunftspflicht bei GesbR
Auslandstätigkeit
Auslegung
Auslegung, authentische
Auslobung
Ausschlagung der Erbschaft
Ausschlagung des Legates
Ausschließung aus d. Eigentumsgemeinschaft
— aus der GesbR
- vom Erbrecht
- von der Testamentsmitwirkung
- von der Vermögensverwaltung
Ausschluss vom Pflichtteil
Ausschlussfristen
Außengesellschaft
— Bekanntgabe der Auflösung
— unternehmerisch tätige
-— Vertretungsbefugnis
Außerordentliches Testament
Außerstreitverfahren
Äußerung der behinderten Person
Äußerungsrecht eines Elternteils
ausscheidender Gesellschafter, Haftung
Ausschluss eines Gesellschafters
Ausstattung
Austausch einer mangelhaften Sache (Werk)
Austritt aus d. Gemeinschaft
Austrocknung eines Gewässers
Auswahl des
-- Erwachsenenvertreters
-- Kurators
Avulsio
Badeanstalten
Balkenrecht
Bank
Banküberweisung
Basisinstanz
Bauwerk
Bauführung
Baum
Bausch und Bogen
Bauverbotsklage
Bauvertrag, Sicherstellung
Bedingte Erbantrittserklärung
Bedingung
Bedürfnisse des Kindes
Bedürftigkeit
Beendigung des Dienstverhältnisses
— der Kuratel
Befestigung der Rechte und Verbindlichkeiten
Befreiungsvermächtnis
Befristung
Befruchtung eines Tieres
Befugnis
Befugter Gewerbsmann
Begräbniskosten
Begünstigte Personen
Behandlung des Kindes
Beherbergung
Beischlaf
Beistandspflicht
Bekanntmachung, Fund
Belastung der Liegenschaft
Belastungsverbot
Beleidigung, Tilgung der
Belohnung
Benennung des Vormannes
Benutzung der Ehewohnung
— Pfand
—unbewegliche Sachen
— Verlassenschaft
— Weg
Benützungsregelung
Bereicherung
Bergelohn
Bergwerk
Beruf, Ausbildung
Berufskrankheit
Beschädigung
Beschränkung der Geschäftsfähigkeit
Beschränkung der Handlungsfähigkeit
Beschränkung des Pflichtteils
- der Vollmacht
Beschreibung, pfandweise
Besitz
Besitzanweisung
Besitzaufgabe
Besitzauflassung
Besitzauftragung
Besitzerlöschung
Besitzerwerb
Besitzklagen
Besitznehmung, Erbschaft
Besitzstörung
Besitzwille
Besondere Vorliebe
Besorgungsgehilfe
Bestandteil
Bestandvertrag
Bestellung des
-- Erwachsenenvertreters
-- Kurators
Bestimmte Zeit, Bestandvertrag
- Dienstvertrag
- Gesellschaftsvertrag
Bestreitungsverbot
Besuchsrecht
Besuchsrechtsvereinbarung
Betreibungskosten
Betreuung, ärztliche
- soziale
Betriebsnachfolger, Haftung
Betrug, s. auch List
Beurkundung
Beute
Bevollmächtigung
Beweggrund
Bienen
Billigkeit
Bittleihe
Blinde
Bodmereivertrag
Borg, Kauf auf
Brautleute
Bücher, öffentliche
Bundeshaftung
Bürge
Bürgerliches Recht, Begriff
- Haupteinteilung
casus mixtus
cautio damni infecti
cessio necessaria
clausula rebus sic stantibus
confessoria in rem actio
Dachtraufenrecht
Darlehen
datio in solutum
Deckname
Deckungsstock
Deckungsverhältnis
Delikt
Deliktsfähigkeit des Kindes
Dereliktion
Derogatorische Klausel
Dienstbarkeiten
Dienste, angemessene
- höhere
Dienstleistung
Dienstnehmer
Dienstperson
Dienstverhältnis, freies
Dienstverhinderung
Dienstvertrag
Dienstzettel
Dienstzeugnis
Dingliche Rechte
Dingliche Sachenrechte
Diplomaten
Doppelname
- der Ehefrau
- des Kindes
Doppelveräußerung
Drittschuldner
Drohung
Durchlaß
Echtheit des Besitzes
Edikt
Ehe
Eheaufhebung
Eheauflösung
Ehegatten
Ehegüterrecht
Eheliches Gebrauchsvermögen
Eheliche Pflicht
Ehename
Ehepakte
-, Begriff
-, Erlöschen
Eherecht
Ehescheidung
Eheschließung
Eheverlöbnis s Verlöbnis
Ehevertrag
Ehewohnung
Ehrenbeleidigung
Eigenhändiges Testament
Eigenmacht
Eigentum
Eigentümerhypothek
Eigentumsbeschränkungen
Eigentumserwerb
Eigentumsgemeinschaft
Eigentumsklage
Eigentumsvorbehalt
Einantwortung
Einbringlichkeit der Forderung
Einfriedungen
Eingebrachte Sachen
Eingetragener Partner
Einkommen, eigenes des Kindes
Einkünfte
Einlösung der Forderung
Einmahnung
Einrechnung bei Erb- und Pflichtteil
- der Verjährungszeit
Einschränkung des letzten Willens
Einschreibebuch
Einseitiges Rechtsgeschäft
Einsetzung in den vorigen Stand
Einsicht in die öffentlichen Bücher
Einstandsrecht
einstweilige Verfügung zum Verlassen der Wohnung, Zuständigkeit des Jugendwohlfahrtsträgers
Eintrittsrecht bei Erbunwürdigkeit
Einwilligung des gesetzlichen Vertreters
Einwilligung, wahre zum Vertrag
Einzäunung
Einzelgeschäftsführungsbefugnis
Einzelvertretungsbefugnis
Eisern Vieh
Elterliche Rechte und Pflichten
Eltern
Elternunterhalt
Empfängnis, Zeit
Enkel
Entbindungskosten
Entdecken einer Sache
Enteignung
Enterbung
Enterbungsgründe
Entgegennahme von Zahlungen
Entgelt
-, Höchstmaß
Entgeltfortzahlung an Dienstnehmer
---, Erlöschen
Enthebung des Kurators
Entlassung eines Mitbürgen
Entlastungsbeweis des Schuldners
Entlehnte Sachen
Entnahmen
Entsagung
Entschädigung
Entschädigungsbürge
ah cn
-, Abstammungsangelegenheiten
-, Annahme an Kindesstatt
-, Besitzerwerb
-, Bestimmung des Familiennamens
-, eingeschränkte
-, Ersitzung
-, medizinische Behandlung
-, Verjährung
-, Vermögensverwaltung des Kindes
Erbanfall
Erbantrittserklärung
Erbe
Erbeinsetzung
Erbengemeinschaft
Erbengläubiger
Erbfähigkeit
Erbfall
Erbfolge, gesetzliche
-, gewillkürte
Erblose Verlassenschaft
Erbrecht
- Begriff
- des Ehegatten
- des eingetragenen Partners
- der Kinder
- des Lebensgefährten
Erbrecht, Vererblichkeit
- des Vermächtnisnehmers
- Verzicht
Erbrechtstitel
Erbschaft
Erbschaft, Annahme
Erbschaftsgläubiger
Erbschaftskauf
Erbschaftsklagen
Erbschaftsvertrag
Erbteil
Erbunfähigkeit
Erbunwürdigkeit
Erbvergleich
Erbvertrag
Erbverzicht
Ereignis, unabwendbares
Erfolgshaftung
Erfüllung einer Geldschuld
Erfüllung des letzten Willens
Erfüllung nach Möglichkeit
- eines Rechtsgeschäfts
Erfüllungsart
Erfüllungsgehilfe
Erfüllungsinteresse
Erfüllungsort
Erfüllungsübernahme
Erfüllungsverzug
Erfüllungszeit
Erklärung des Vertragswillens
- Übergabe durch
Erklärungsirrtum
Erlag bei Gericht
Erlöschen des Antrages (Offerte)
- des Besitzes
- der Bürgschaft
- der Dienstbarkeiten
- des Eigentums
- des Gewährleistungsrechts
- der Obsorge
- des Pfandrechts
- der Rechte und Verbindlichkeiten
Erneuerung des Bestandvertrages
- der Grenzen
Ersatzerbschaft
Ersatzvermächtnis
Eritzung
Ersteher
Erträgnisse
Erwachsenenvertreter
-, Aufwandersatz
-, Ausschluss
-, Berichtspflicht
-, Betreuungspflicht
-, Entschädigung
-, gerichtlicher
-,-, Auswahl
-,-, Entschädigung
-, gesetzlicher
-, gewählter
-, Haftung
-, Kontaktpflicht
-, medizinische Behandlung
-, medizinische Forschung
-, Personensorge
-, Rechnungslegungspflicht
-, Registrierung
-, Sterilisation
-, Verschwiegenheitspflicht
- Vermögensverwaltung
-, Wirkungsbereich
-, Wohnortänderung
Erwachsenenvertreter-Verfügung
-, Schriftlichkeit
-, Widerruf
Erwachsenenvertretung
-, Änderung
-, Anzahl
-, Beendigung
-, Entstehung
-, Nachrang
-, Selbstbestimmung trotz Vertretung
-, Übertragung
-, Widerruf
Erwerb des anderen Ehegatten
Erwerb des Besitzes
Erwerb, dingliche Rechte
-, Erbschaft
-, gutgläubiger
-, Pfandrecht
- von Rechten
- von Vermächtnissen
Erbschaftsklage
Erwerbsfähigkeit
Erwerbsfähigkeit, Minderung
Erziehung des Kindes
-, Entziehung
- Vernachlässigung der
Eviktion
Einrede des nicht erfüllten Vertrages
- der Unsicherheit
- der verkauften und übergebenen Sache
Exterritorialität
facultas alternativa
Fahrlässigkeit
Fahrwegrecht
Fälligkeit
falsus procurator
Familie
Familienname
- der Ehegatten
- des Kindes
Familienrechte
Faustpfand
Feilbietung
Felddienstbarkeiten
Fensterrecht
Feststellung der Nichtabstammung vom Ehemann der Mutter
-, Frist
Feststellung der Vaterschaft
Feuer
Feuerversicherung
Fideikommissarische Substitution s Nacherbschaft
Finden
Finder
Finderlohn
Fische
Fixgeschäft
Fleiß, Haftung für
Fluß
Folgepflicht
Forderung, Richtigkeit
- unklagbare
- Verjährung
Forderungsvermächtnis
Form, Adoption
- Auslobung
- Bürgschaft
- Gesellschaftsvertrag
- letztwillige Verfügung
- Schenkung
- Verträge
- Vaterschaftsanerkenntnis
- vereinbarte
Fortkommen
Fortpflanzung, medizinisch unterstützte
Fortsetzung der GesbR mit dem Erben
Fortsetzungsbeschluss
Frau als Elternteil
Freiheitsberaubung
Freiheitsstrafe
Freistehende Sachen
Freiwillige Feuerwehr
Freizeit während der Kündigungsfrist
Fremde
Fremdes Geschäft
Fremde Handlung, Haftung
Fremde Pflege
Fremde Schuld
Fremdhändiges Testament
Fremdwährungsschuld
Frist
Früchte
Fruchtnießung
Fuhrleute
Furcht
Fürsorgepflicht
Fußsteig
Garantievertrag
Gase, Einwirkung
Gastaufnahme
Gastwirt
Gattung
Gattungsschuld
Gattungsvermächtnis
Gebäude
Gebrauch
Geburt
Gefahr
Gefährliche Person
Gefälligkeit
Gefangennehmung
Gegenforderung
Gegenleistung
Gegenseitige Ersatzerbschaft
Gegenseitige Verträge
Gegenseitigkeit
Geheime Vollmacht
Geheimer Vorbehalt
Gehilfen
Gehorsam
Geld
Geldanlegung
Geldbuße
Gelddarlehen, siehe Kreditvertrag
Geldentwertung
Geldpflichtteil
Geldschuld
- in ausländischer Währung
Geldsorten
Geldstrafe
Geldvermächtnis
Geliehene Sache
Gemeinden
Gemeiner Wert
Gemeingebrauch
Gemeinschaft des Eigentums und anderer dinglicher Rechte
Gemeinschaftseigentum
Gemeinschaft,  vermutete
Gemeinschaftliche Berechtigung
Gemeinschaftliches Testament
Gemeinschaftliche Urkunde
Gemeinschaftliche Verbindlichkeit
Gemischter Zufall
Gemütsaufregung
Genehmigung durch den Gewaltgeber
Generalvollmacht
Genossenschaft
Genugtuung,  volle
Gerätschaften
Geräusch
Gerichtliche Beurkundung
Gerichtliche Bewilligung der Adoption
Gerichtliche Feststellung
Gerichtliche Genehmigung
Gerichtliche Hinterlegung
Gerichtliche Kündigung
Gerichtliches Testament
Gerichtliche Verwahrung
Geruch
Gesamtsache
Gesamtschuld
Geschäftsbedingungen,  Allgemeine
Geschäftsfähigkeit
Geschäftsführung
Geschäftsführung ohne Auftrag
Geschäftsführungsbefugnis
- Entziehung
- Kündigung
- Umfang
Geschäftsgrundlage
Geschäftsirrtum
Geschenkannahme
Geschwister
Gesellschaft
Gesellschaft bürgerlichen Rechts
- actio pro socio
- Arbeitsgesellschafter
- Auflösung
- Auflösungsgründe
- Aufteilung
- Aufwendungen,  Ersatz dafür
- Auseinandersetzung
-- andere Art
- Außengesellschaft
-- Bekanntgabe der Auflösung
-- unternehmerisch tätige
-- Vertretungsbefugnis
- Auskunftspflicht
- ausscheidender Gesellschafter,  Haftung
- Ausschluss
- Befristung
- Begriff
- eintretender Gesellschafter,  Haftung
- Einwendungen des Gesellschafters
- Einzelgeschäftsführungsbefugnis
- Einzelvertretungsbefugnis
- Entnahmen
- Fortsetzung mit dem Erben
- Fortsetzungsbeschluss
- Geschäftsführung
- Geschäftsführungsbefugnis
-- Entziehung
-- Kündigung
-- Umfang
- Gesellschafterbeschluss
- Gesellschafternachfolge
- Gesellschaftsansprüche
- Gesellschaftsanteil
- Gesellschaftsname
- Gesellschaftsvermögen
-- Einbringung
-- Forderungen
--- körperliche Sachen
-- Übergang
- Gestaltungsfreiheit
- Gewinn
- Gewinnausschüttung
- Gleichbehandlung
- Haftung der Gesellschafter
- Innengesellschaft
- Interessenwahrung
- Kapitalanteil
- Kontrollrechte
- Kündigung
-- durch Privatgläubiger
- Liquidation
- Liquidator, Bestellung
--, Pflichten
--, Rechte
--, Vertretungsbefugnis
- Miteigentum
-- bei Gesellschafternachfolge
- Mitwirkungspflicht
- Nachschüsse
- Nebengeschäfte
- Rechenschaftspflicht
- Rechnungswesen
- Rechtsübergang
- Sachen
-- bei Gesellschafternachfolge
--, Rückgabe
--, zur Benutzung überlassene
- schwebende Geschäfte
- Sicherheiten
- Umwandlung
- Verluste
- Vermögensordnung
- Vertrag bei Gesellschafternachfolge
- Vertretung
-- Entziehung
- Verzinsungspflicht
Gesellschaftliche Versorgungsanstalten
Gesellschaftsvertrag
Gesetzesanalogie
Gesetzliche Erbfolge
Gesetzlicher Güterstand
Gesetzliches Pfandrecht
Gesetzliche Vertretung
- des Kindes
Gesetzliches Vorausvermächtnis
Gesetzliche Zession
Gesetzliche Zinsen
Gesonderte Wohnung
Gesundheit
Geteiltes Eigentum
Geteiltes Verschulden
Gewährleistung
-,  Rechte
-,  Rückgriff
-,  Schadenersatz
-,  Verjährung
-,  Vermutung der Mangelhaftigkeit
Gewährleistungsfrist
Gewahrsame
Gewalt, höhere
gewaltfreie Erziehung
Gewaltgeber
Gewalthaber
Gewässer
Gewerbe
Gewinn
Gewinn, entgangener
Gewinnausschüttung
Gewohnheitsrecht
Gießen aus einer Wohnung
Gläubiger des Erben
- der Verlassenschaft
- Verkürzung der
- Verzug
Gleichartigkeit der Forderungen
Gleichheit
Glücksverträge
Grade,  Verwandtschaft und Schwägerschaft
Grenzbaum
Grenzberichtigung
Grenzkataster
Grenzzeichen
Grobe Fahrlässigkeit
Großeltern
Grundbuch
Grunddienstbarkeiten
Grundlose Leistung
Grundpfand
Grundstücke
Gültigkeit der Ehe, Vergleich
- des letzten Willens
Gut, erbloses
- öffentliches
Guter Glaube
Gute Sitten
Gütergemeinschaft
Güterrecht, eheliches
Gutsabtretung
Gutsuntertanen
Haftung, Aufsichtspflichtige
- Bergwerk
- Bestandnehmer
- Betriebsübernehmer
- Bevollmächtigter
- Ehegatten
- Erbe
- Erbschaftsverkäufer
- Gastwirt
- für Gehilfen
- Geschenknehmer
- Gesellschafter
- Hauseigentümer
- mehrerer Erben
- des Kurators
- Sachverständiger
-Tierhalter
- zur ungeteilten Hand
- Veräußerer eines Unternehmens
- Verletzung der Privatsphäre
-- eines Tieres
- Wegehalter
- Wohnungsinhaber
Handlungen
Handlungsfähigkeit
- in Abstammungsangelegenheiten
-, Genehmigungsvorbehalt
- bei Erwachsenenvertretung
- des Kindes
- bei Vorsorgevollmacht
Handpfand
Handzeichen
Haupteingang
Haupterwerb
Hauptgegenstand
Hauptsache
Hauptschuldner
Hauptstamm
Haus
Hausdienstbarkeiten
Hausgemeinschaft
Hausgenossen
Haushalt
Haushaltsführung in der Ehe
Hausrat
Hebamme
Hecke
Heilungskosten
Heimfall
heimlicher (Besitz) 345
Heiratsgut, s. Ausstattung
Hemmung der Verjährung
Herabfallen
Hilfe, richterliche
Hineinvermächtnis
Hingabe an Zahlungsstatt
Hinterbliebene
Hinterleger
Hinterlegung bei Gericht
Hinterlegung von Urkunden
Hinzurechnung von Schenkungen
Höchstpersönliche Rechte
Hoffnungskauf
Hofzugehör
Hoheitsrechte
Höhere Dienste
Holographes Testament
Holz
Holzschlagrecht
Honigraub
Hyperocha
Hypothek
Hypothekenübernahme
Immerwährende Gemeinschaft
Immissionen
Immunität
Industrie
Inflation, s. Geldentwertung
Informationsrecht eines Elternteils
Inhaber
Inkassokosten
Innengesellschaft
in rem versio
Inschrift
Inseln
Insolvenzverfahren
Instandhaltung, Bestandsache
- Scheidewände
Interpretation,  s. Auslegung
Intestaterbfolge
Inventar
Irrtum
jus offerendi
ius tollendi
Jagd
Jahr, Berechnung
Jahreszeit, Rückstellung der Bestandsache
Jugendwohlfahrtsträger, s. Kinder- und Jugendhilfeträger
- Zuständigkeit der
Juristische Person
Kalkbrennen
Kapital
Kapitalanteil
Kassatorische Klausel
Katastrophenhilfsorganisation
Kauf
Käufer, besserer
Kausalität
Kellereigentum
Kinder
-, im Inland gefunden
-, uneheliche
Kinder- und Jugendhilfeträger
- Zuständigkeit der
Kindesname
Kindesunterhalt
Kindeswohl
- Berücksichtigung bei Vereinbarung
Kirche
Kircheneintritt
Klagserhebung
Kodizill s Vermächtnis
Kollektivvertretung
Kollisionskurator
Kompensation
Kondiktionen
Konfessorische Klage
Konkludente Handlungen
Konkursverfahren
Kontaktrecht
Kontaktrechtsvereinbarung
Kontrollrechte
Konventionalstrafe
Konvertierung, Hypothek
Körperverletzung
Korrealität
Kostbarkeiten
Kostenvoranschlag
Kraftloserklärung
Krankenversicherung
Krankheit
- psychische
Kredit, mündelsicher
Kreditauszahlung, Verweigerung
Kreditinstitut
Kreditschädigung
Kreditvertrag
Krieg
Kündigung, Bestandvertrag
- Darlehensvertrag
- Dienstvertrag
- Freizeit während der Kündigungsfrist
- Gesellschaftsvertrag
- Kreditvertrag
- Vollmacht
Kündigungsschutz
Kundmachung eines Gesetzes
Künftige Sachen
Kunst
Kurator
-, Ablehnung der Bestellung
- für Abwesende
-, Änderung
-, Anzahl
-, Aufwandersatz
-, Auswahl
-, Beednigung
-, Entschädigung
-, Haftung
- im Kollisionsfall
-, Pflichten
-, Rechte
- für Ungeborene
- für Verlassenschaft
-, Verschwiegenheitspflicht
-, Wirkungsbereich
Kux
Lade
Laden
laesio enormis, s. Verkürzung über die Hälfte
Land
Land, abgerissenes
Landesgesetze
Lärm
Lasten, Bestandverträge
- Dienstbarkeiten
- eingetragene
- Erbschaft
- Gewährleistung
Lastrecht, Servitut
Laub rechen, Servitut
Lebendgeburt, Vermutung
Lebensgefährte
Lebensgemeinschaft, eheliche
Lebensvermutung
Lebenszeit, Dienstvertrag
Legalzession
Legat, s. Vermächtnis
legatum debiti
legatum liberationis
legatum nominis
Lehen
Lehrer, Verjährung der Forderung
Lehrvertrag
Leibeigenschaft
Leibgedinge
Leibrente
Leichtsinn
Leihe
Leistung, Befugnis zur
- ohne Rechtsgrund
- unmögliche
- wiederkehrende
Leistungsverweigerung
Leistungsverzug
Letzter Wille
-, Anforderungen an
-, Bestimmtheit
Letztwillige Verfügung
- verweisende
Leugnen des Besitzes
Leutehaftung
lex Rhodia de iactu
Lichter Augenblick
Lichtrecht
Liegenschaften
Liegenschaftsteilung
Liquidation
Liquidator, Bestellung
-, Pflichten
-, Rechte
-, Vertretungsbefugnis
List
Los
Lotterie
Löschgeräte
Löschung, öffentliche Bücher
Luftraum
Mangel, Anzeige
- offenkundiger
-, Vermutung
-, verschuldet
Marktpreis
Maschine
Maß
Mäßigungsrecht des Richters
Materialien, fremde
Mauer, Grenze
Medizinische Behandlung
- des Kindes
Medizinische Forschung
Mehrverkehr, Einrede des
Meliorationskosten
Mentalbesitz
Mentalreservation
Miete
Mietzins
Minderjährige
-, verheiratet
Minderung des Pflichtteils
Minderung des Preises einer mangelhaften Sache
Minderung des Unterhaltsanspruchs
Mindestalter, Adoption
Missbrauch eines Abhängigkeitsverhältnisses
Missbrauch zu geschlechtlichen Handlungen
Missbrauch des Rechts
Missverhältnis der Leistungen
Misswachs
Mitbesitzer
Mitbürge
Miteigentum
- bei Gesellschafternachfolge
Miterben
Mitteilung
Mitverschulden
Mitwirkung am Erwerb
Möbel, Vermächtnis
Möglichkeit der Leistung
Monat
Monatszimmer
Moralische Person, s. juristische Person
Mord
Motiv
Motivirrtum
Mühlen
Mündelgeld
Mündelsichere Kredite
Mündelsichere Liegenschaften
Mündelsichere Spareinlagen
Mündelsichere Wertpapiere
Mündelsicherheit
Mündiger
Mündliche Bevollmächtigung
- Testamente
Münzen
Mutter
Mutwille
Nachbarrecht
Nachberechtigung
Nacherbe
Nacherbschaft
Nachfrist
Nachgeborene
Nachkommen
Nachlass s Verlassenchaft
Nachlässigkeit
Nachschuldner
Nachschusspflicht
Nachteiliger Gebrauch
- Rat
- Bestimmungen
Nachtrag des Fehlenden
Nachvermächtnis
Name
Namensänderung
Naturalersatz
Naturalobligation
Naturalteilung
Natürliche Früche
Nebenbestimmungen bei Verträgen
Nebengebühren
Nebengeschäft
Nebenrechte
Nebensachen
Nebenverbindlichkeiten
Nebenverträge
Negatorische Klage
Neuerungsvertrag
Nichtabstammung vom Anerkennenden
Diaeanaung vom Ehemann der Mutter
Nichterfüllung
Nichtgebrauch eines Rechts
Nichtigerklärung der Ehe
Nichtigkeit der Ehe
Nichtigkeit von Verträgen
Nichtschuld, Zahlung einer
ichtverbücherte Liegenschaft
Niederlassung (Geschäft)
nominatio auctoris
Notar
Notariatsakt
Notarielle Beglaubigung
Notarielles Testament
Notstand
Nottestament
Notwehr
Novation
Nutzung
Obligationenrecht
Obsorge
- Änderung
- einer anderen Person
- Beistehen des Elternteils durch Ehegatten
- Einschränkung
- Entziehung
- Erlöschen
- gemeinsame Eltern
_ des Kinder- und Jugendhilfeträgers
-der Mutter
- durch Pflegeeltern
- nach Scheidung
- Vertretung des Elternteils durch Ehegatten
Obsorgeberechtigter
- Aufwandersatz
- Entgelt
- Entschädigung
Obsorgevereinbarung
Öffentliches Gut
- Versendungsanstalt
- Versteigerung
- Weg
Offerte, s. Antrag
Okkupation
Ordentliche Ersitzung
Ordentliche Testamente
Ordentlicher Wirtschaftsbetrieb
Ort
Ortsgebrauch
Ortsübliches Ausmaß
Österreichisches Zentrales Vertretungsverzeichnis
Pacht
Papiergeld
Parentelenerbfolge
Partnerschaft, eheliche
Partnerschaftspakte
Patentanwalt
Person
- begünstigte
- gefährliche
- Irrtum in der
- juristische
Personenrecht
Personensorge
Persönliche Dienstbarkeit
- Dienstleistung
Persönliche Kontakte
Persönliche Rechte
- Sachenrechte
Pest
Pfand
Pfandbriefe
Pfandgläubiger
Pfandklage
Pfandrechtserwerb
Pfandschein
Pfandvertrag
Pfandverwertung
-, außergerichtliche
Pfandweise Beschreibung
Pflanzen
Pflege der Kinder
-, Entziehung
Pflegeeltern
Pflegeverhältnis
Pflegevermächtnis
Pflicht, sittliche
Pflichten der Eltern
Pflichten der Kinder
Pflichtteil
-, Höhe
-, Stundung
Pflichtteilsberechtigte
Pflichtteilsermittlung
Pflichtteilsminderung
Pflichtteilsschuldner
Planke als Grenze
Präklusivfrist, s Ausschlußfrist
Prälegat s Vorausvermächtnis
Pränotation
Prekarium
Preis
Preisminderung, s. Minderung
Privatgefangennehmung
Privatlehrer
Privatpfändung
Privatsphäre
Privattestament
Privilegien
Probe, Dienstvertrag auf
- Kauf auf die
Provinz
Provinzialstatuten
Provision
Prozesskurator
Psychische Krankheit
Publizianische Klage
Punktation
Quittung
Quota litis
Rangfolge der Unterhaltspflichten
der Vermächtnisse
Rangvorbehalt
Rat, nachteiliger
Rauch
Räumung
Reallasten
Rechenschaftspflicht
Rechnungslegung
Rechnungsverstoß
Rechnungswesen
Rechte, angeborene
Rechte, Aufhebung
- Befestigung
- Umänderung
Rechte der Eltern
- der Fremden
- juristische Person
- Verfolgung
Rechtlich vermutetes Eigentum
Rechtmäßiger Besitz
Rechtsanalogie
Rechtsanwalt
Rechtsbesitz
Rechtserwerb
Rechtsgeschäfte
Rechtsgeschäfte des täglichen Lebens
Rechtsgrundsätze, natürliche
Rechtsirrtum
Rechtsmissbrauch
Rechtsnachfolge in Abstammungsangelegenheiten
Rechtspersönlichkeit
Rechtsunwirksamkeit
Rechtswirkungen, persönliche der Ehe
Rechtswohltat des Inventars
Redlicher Besitz
Regress, s. Rückgriff
Reisigsammeln
rei vindicatio, s. Eigentumsklage
Reisende
Religion
Religionsgesellschaft
Religionsaustritt
Rente
Rentenvermächtnis
Repräsentationsrecht, gesetzliche Erbfolge
Resolutivbedingung
restitutio in integrum
Retentionsrecht, s Zurückbehaltungsrecht
Rettung fremder Sachen
Rettungsdienst
Reugeld
Richterliche(s) Hilfe
- Mäßigungsrecht
- Pfand
- Verschulden
Richterspruch
Richtigkeit der Forderung
Rückbürge
Rückgriff
Rückstand, Mietzins
Rücktritt
- Dienstvertrag
- Verlöbnis
Rückverkaufsrecht
Ruhender Nachlass
Rückwirkung bei Gesetzen
Sache
- ansprüchige
- aufgehängte, gestellte
- bestimmte
- bewegliche
- eingebrachte
- entlehnte
- freistehende
- fremde
- gehoffte
- bei GesbR
- bei Gesellschafternachfolge
- körperliche
- künftige
-, Rückgabe bei GesbR
- schätzbare
- teilbare
-, zur Benutzung überlassene
- unbewegliche
- verborgene
- (un)verbrauchbare
- vergessene
- verlassene
- verlorene
Sachenrecht
Sachverständige
Säen
Sand graben
Sanierungsverfahren, s. Insolvenzverfahren
Säule, Grenze
Schade
- durch Unmündige
Schadenersatz bei mangelhafter Sache (Werk)
Schadenfreude
Schädigungsabsicht
Schadloshaltung
- Unterhalt
Schatz
Schätzung
Scheingeschäft
Schenkung
- auf den Todesfall
- zwischen Ehegatten
Schiedsrichter
Schiffer
Schifffahrt
Schlüsselgewalt
Schmerzengeld
Schmuck
Schöpfrecht
Schornstein
Schreibunkundige
Schriftliches Testament
